2100.0000	3.0040654	5.4551001
2110.0000	2.9629200	5.4882309
2120.0000	2.9227159	5.5246796
2130.0000	2.8835444	5.5644380
2140.0000	2.8454993	5.6075000
2150.0000	2.8086773	5.6538606
2160.0000	2.7731785	5.7035162
2170.0000	2.7391069	5.7564638
2180.0000	2.7065704	5.8127013
2190.0000	2.6756816	5.8722263
2200.0000	2.6465582	5.9350364
2210.0000	2.6193231	6.0011284
2220.0000	2.5941049	6.0704979
2230.0000	2.5710382	6.1431385
2240.0000	2.5502642	6.2190417
2250.0000	2.5319308	6.2981958
2260.0000	2.5161927	6.3805854
2270.0000	2.5032121	6.4661907
2280.0000	2.4931587	6.5549865
2290.0000	2.4862099	6.6469412
2300.0000	2.4825509	6.7420163
2310.0000	2.4823748	6.8401648
2320.0000	2.4858828	6.9413305
2330.0000	2.4932835	7.0454465
2340.0000	2.5047937	7.1524343
2350.0000	2.5206370	7.2622020
2360.0000	2.5410441	7.3746431
2370.0000	2.5662521	7.4896352
2380.0000	2.5965036	7.6070383
2390.0000	2.6320457	7.7266932
2400.0000	2.6731290	7.8484199
2410.0000	2.7200063	7.9720162
2420.0000	2.7729307	8.0972556
2430.0000	2.8321538	8.2238866
2440.0000	2.8979239	8.3516303
2450.0000	2.9704828	8.4801797
2460.0000	3.0500637	8.6091982
2470.0000	3.1368875	8.7383187
2480.0000	3.2311599	8.8671429
2490.0000	3.3330674	8.9952407
2500.0000	3.4427730	9.1221507
2510.0000	3.5604124	9.2473801
2520.0000	3.6860894	9.3704059
2530.0000	3.8198709	9.4906767
2540.0000	3.9617823	9.6076146
2550.0000	4.1118030	9.7206184
2560.0000	4.2698613	9.8290671
2570.0000	4.4358303	9.9323247
2580.0000	4.6095236	10.029745
2590.0000	4.7906918	10.120679
2600.0000	4.9790196	10.204481
2610.0000	5.1741233	10.280514
2620.0000	5.3755503	10.348163
2630.0000	5.5827783	10.406839
2640.0000	5.7952168	10.455991
2650.0000	6.0122094	10.495113
2660.0000	6.2330378	10.523756
2670.0000	6.4569270	10.541534
2680.0000	6.6830519	10.548132
2690.0000	6.9105450	10.543319
2700.0000	7.1385065	10.526946
2710.0000	7.3660136	10.498958
2720.0000	7.5921321	10.459396
2730.0000	7.8159284	10.408396
2740.0000	8.0364812	10.346193
2750.0000	8.2528935	10.273121
2760.0000	8.4643052	10.189604
2770.0000	8.6699038	10.096158
2780.0000	8.8689353	9.9933791
2790.0000	9.0607136	9.8819410
2800.0000	9.2446289	9.7625829
2810.0000	9.4201547	9.6361011
2820.0000	9.5868535	9.5033387
2830.0000	9.7443806	9.3651749
2840.0000	9.8924871	9.2225144
2850.0000	10.031021	9.0762768
2860.0000	10.159929	8.9273859
2870.0000	10.279252	8.7767602
2880.0000	10.389127	8.6253034
2890.0000	10.489784	8.4738953
2900.0000	10.581541	8.3233839
2910.0000	10.664805	8.1745774
2920.0000	10.740064	8.0282367
2930.0000	10.807887	7.8850684
2940.0000	10.868921	7.7457174
2950.0000	10.923885	7.6107592
2960.0000	10.973569	7.4806917
2970.0000	11.018831	7.3559262
2980.0000	11.060590	7.2367772
2990.0000	11.099824	7.1234503
3000.0000	11.137559	7.0160294
3010.0000	11.174863	6.9144612
3020.0000	11.212831	6.8185398
3030.0000	11.252565	6.7278892
3040.0000	11.295155	6.6419470
3050.0000	11.341642	6.5599498
3060.0000	11.392983	6.4809225
3070.0000	11.450006	6.4036757
3080.0000	11.513353	6.3268118
3090.0000	11.583424	6.2487474
3100.0000	11.660319	6.1677515
3110.0000	11.743780	6.0820051
3120.0000	11.833156	5.9896802
3130.0000	11.927374	5.8890376
3140.0000	12.024951	5.7785360
3150.0000	12.124032	5.6569443
3160.0000	12.222468	5.5234431
3170.0000	12.317924	5.3777038
3180.0000	12.408012	5.2199315
3190.0000	12.490434	5.0508658
3200.0000	12.563121	4.8717365
3210.0000	12.624348	4.6841798
3220.0000	12.672815	4.4901260
3230.0000	12.707690	4.2916721
3240.0000	12.728610	4.0909555
3250.0000	12.735648	3.8900408
3260.0000	12.729257	3.6908292
3270.0000	12.710187	3.4949940
3280.0000	12.679412	3.3039444
3290.0000	12.638048	3.1188117
3300.0000	12.587286	2.9404562
3310.0000	12.528332	2.7694872
3320.0000	12.462365	2.6062914
3330.0000	12.390501	2.4510662
3340.0000	12.313775	2.3038528
3350.0000	12.233129	2.1645685
3360.0000	12.149403	2.0330354
3370.0000	12.063341	1.9090056
3380.0000	11.975590	1.7921824
3390.0000	11.886710	1.6822376
3400.0000	11.797178	1.5788251
3410.0000	11.707400	1.4815918
3420.0000	11.617717	1.3901855
3430.0000	11.528414	1.3042614
3440.0000	11.439725	1.2234854
3450.0000	11.351844	1.1475377
3460.0000	11.264926	1.0761144
3470.0000	11.179097	1.0089284
3480.0000	11.094456	0.94570967
3490.0000	11.011080	0.88620530
3500.0000	10.929026	0.83017912
3510.0000	10.848338	0.77741099
3520.0000	10.769044	0.72769610
3530.0000	10.691163	0.68084411
3540.0000	10.614705	0.63667827
3550.0000	10.539672	0.59503454
3560.0000	10.466059	0.55576070
3570.0000	10.393859	0.51871550
3580.0000	10.323059	0.48376786
3590.0000	10.253642	0.45079609
3600.0000	10.185591	0.41968718
3610.0000	10.118884	0.39033608
3620.0000	10.053501	0.36264515
3630.0000	9.9894187	0.33652353
3640.0000	9.9266133	0.31188660
3650.0000	9.8650610	0.28865552
3660.0000	9.8047376	0.26675674
3670.0000	9.7456187	0.24612163
3680.0000	9.6876803	0.22668605
3690.0000	9.6308984	0.20839004
3700.0000	9.5752492	0.19117748
